sentences,dists
"Nice wheels ... get ? Toorpakai 's son Jawad Saindi , 21 , pulls family 's # 1.2 million home west London",-7.835450856187737 -7.856237902391649 -inf -6.435174499951806 -inf -7.279746379703273 -inf -7.841167715103556 -7.80809778512176 -7.786270183918194 -inf -7.270922223020212 -inf -7.862493258082535 -6.116357811943369 -inf -inf -inf -7.819340759540171 -6.439640954782587 -6.259984753815435 -6.2534826782082025
"Abdi Nur , 42 , unemployed bus conductor , wife Sayruq , 40 , seven children moved three-storey home fashionable area capital complaining previous home ` poor ' part city .",-7.878721983406204 -7.270388351533617 -inf -7.829777394117664 -inf -6.92132416923694 -7.865756826289161 -7.874746596182761 -inf -7.863647457374141 -7.858872488305687 -inf -7.824391717227666 -inf -7.838174794504494 -7.267836453853777 -6.431394965020724 -6.559252451948757 -6.439640954782587 -7.885996729621751 -7.264056875499433 -7.826381447551622 -7.8789849120586775 -7.822139834483602 -6.439640954782587 -inf -7.285816445543877 -inf -6.636773684634575 -7.807700977573863 -inf
"In another case last year , Somalian family moved house Coventry # 2m property West Hampstead , north London .",-6.911192920341772 -7.238072063558011 -6.261510606455229 -6.619569024672159 -5.666895353014516 -inf -6.892915646263023 -6.116357811943369 -6.431394965020724 -6.42818097449347 -7.812367201641833 -inf -7.831270514884719 -7.835305585560511 -6.259984753815435 -7.855796294388105 -inf -7.294234852180533 -6.2534826782082025 -inf
NORTH EAST ... # 923.8,-7.294234852180533 -7.273109797132439 -inf -inf -7.796885429353051
"NORTH WEST ... # 2,371.5",-5.418931710226959 -5.9087373368348635 -inf -inf -9.249413441898241
"YORKSHIRE ... # 1,497",-inf -inf -inf -inf
"EAST MIDLANDS ... # 1,112.6",-7.273109797132439 -7.241746593164691 -inf -inf -7.812851818237131
"WEST MIDLANDS ... # 1,736.6",-6.259984753815435 -7.241746593164691 -inf -inf -7.807216836170443
"EAST ... # 1,632.6",-7.273109797132439 -inf -inf -7.865722134296914
"LONDON ... # 5,539.0",-6.2534826782082025 -inf -inf -7.8487620024514255
"SOUTH EAST ... # 2,536.9",-9.25708058637433 -7.273109797132439 -inf -inf -7.884804190082017
"SOUTH WEST ... # 1,525.9",-9.25708058637433 -6.259984753815435 -inf -inf -7.884284109445717
WALES ... # 892.9,-6.0994810991041595 -inf -inf -9.001201574921756
"SCOTLAND ... # 1,660.6",-5.413483135958617 -inf -inf -8.787779305598628
"TOTAL # 21,429.5",-9.44332112616104 -inf -6.826184631287783
"Saeed Khaliiff given # 2,000 week",-inf -7.8272020359288685 -7.260992762513748 -inf -6.438897183183623 -6.245445123484486
"home despite links area , home",-6.439640954782587 -7.248760862964336 -7.8125351143164945 -7.264056875499433 -inf -6.439640954782587
"George Michael , Sienna Miller , Jude Law Helena Bonham Carter .",-7.853581610105077 -7.270429179720195 -inf -7.848440290445842 -7.840154661681752 -inf -7.808087913144848 -7.8389564381910075 -7.861603847942256 -7.845461707161601 -7.8753877538173604 -inf
The extravagant lifestyle one majority hard-working families dream .,-4.813336632402851 -7.838124774832475 -7.85927746240404 -5.975303777804589 -7.280123749423824 -7.14626939824638 -5.679156289440347 -7.825707024902984 -inf
The figures raise calls Government 's benefit reforms bulldozed Commons - despite pleading Liberal Democrats .,-4.813336632402851 -6.442465951427288 -7.807250103516451 -7.79931839244822 -6.894426796407224 -inf -5.762613683027634 -7.281410111593774 -7.867042102715224 -7.848348288312112 -inf -7.248760862964336 -7.845036040318203 -7.840873652957311 -7.810733781341721 -inf
"The data , made public Freedom Information Act , show areas UK pay housing benefit Birmingham -LRB- # 469million per year -RRB- , Glasgow -LRB- # 337m -RRB- , Brent -LRB- # 306m -RRB- , Westminster -LRB- # 281m -RRB- , Hackney -LRB- # 267m -RRB- , Newham -LRB- # 264m -RRB- , Enfield -LRB- # 258m -RRB- , Haringey -LRB- # 254m -RRB- , Liverpool -LRB- # 254m -RRB- Manchester -LRB- 248m -RRB- .",-4.813336632402851 -7.834070842250575 -inf -6.103300809650919 -6.427435377734463 -7.862850102358682 -7.840045148717391 -6.907539547570402 -inf -6.106940549503581 -7.275649775368703 -7.877350832671456 -7.270527891820157 -5.864684696723488 -5.762613683027634 -7.836203888756975 -5.300198655388769 -inf -7.855180148564127 -6.634115171848047 -5.666895353014516 -5.304967795466348 -inf -7.835467025956918 -5.300198655388769 -inf -7.8388614340325375 -5.304967795466348 -inf -7.851653995663324 -5.300198655388769 -inf -7.861619808704385 -5.304967795466348 -inf -6.912454238866976 -5.300198655388769 -inf -7.836347033188759 -5.304967795466348 -inf -7.837185794572155 -5.300198655388769 -inf -7.831214498188544 -5.304967795466348 -inf -7.841114750427376 -5.300198655388769 -inf -7.861958789108308 -5.304967795466348 -inf -7.8458508680157175 -5.300198655388769 -inf -7.8609295317646355 -5.304967795466348 -inf -7.8344693353126145 -5.300198655388769 -inf -7.2741527303754525 -5.304967795466348 -inf -7.8559996514622155 -5.300198655388769 -inf -7.2741527303754525 -5.304967795466348 -7.7422029440466416 -5.300198655388769 -7.8611095870854975 -5.304967795466348 -inf
Emma Boon TaxPayers ' Alliance said : ` This evidence right cap benefits . It unfair ask taxpayers pay swanky central London homes others ca n't afford live postcodes .,-7.848330387923572 -7.862982540858264 -6.65369896942406 -inf -7.849725474023111 -5.1911203522989995 -inf -inf -6.933341162834317 -7.830612232030476 -6.241333070359458 -6.645037763641099 -7.2563328727873735 -inf -6.4323059067903765 -7.880773423373225 -6.895257532092794 -6.65369896942406 -7.270527891820157 -6.90609629828731 -7.85298730245169 -6.2534826782082025 -6.640070330202054 -6.64344028052739 -7.284299113794307 -inf -6.916612776437829 -5.870126533953174 -7.283711927418142 -inf
"` Many middle low income families decide afford house family town , move somewhere affordable . It unreasonable ask benefits make choice . '",-inf -6.414748840441275 -7.801706312513919 -7.851186577523532 -7.822303597896449 -5.679156289440347 -7.822999342148531 -6.916612776437829 -6.42818097449347 -6.116357811943369 -7.798440911934076 -inf -6.883590055432067 -7.877703378148186 -7.847992072834768 -inf -6.4323059067903765 -7.85442450738101 -6.895257532092794 -7.2563328727873735 -6.900544586397674 -7.829154791119022 -inf -inf
The DWP says new rules put place mean families currently getting # 400-per-week gradually taken system moved cheaper accommodation .,-4.813336632402851 -7.262978938196117 -6.9053994890997545 -6.648736598192305 -7.848061799865234 -7.8377643560151276 -7.259759226571534 -7.820469057549273 -5.679156289440347 -7.241532421465219 -6.901045632728675 -inf -5.388831108834013 -7.843617849263493 -6.914572854230579 -7.878277536193446 -6.431394965020724 -7.801300683391284 -7.849509893875398 -inf
A spokesman added : ` These figures underline exactly Housing Benefit reforms necessary ' .,-inf -6.912472304796361 -6.901627252910082 -inf -inf -7.8423910373199766 -6.442465951427288 -7.853831286909536 -7.8462442970727935 -5.864684696723488 -5.762613683027634 -7.281410111593774 -7.851824612384601 -inf -inf
@highlight,-7.877095084903179
"Thirty families receiving # 6,000 month least 60 families getting # 5,000 month",-inf -5.679156289440347 -7.284260622623209 -inf -6.438897183183623 -6.906570984724457 -7.265516111874736 -7.286177129716957 -5.679156289440347 -6.901045632728675 -inf -6.438897183183623 -6.906570984724457
@highlight,-7.877095084903179
"Unemployed living luxury homes upmarket parts London Kensington , Chelsea Westminster",-6.92132416923694 -7.287219996689913 -6.899740172840747 -6.640070330202054 -6.913627948627866 -7.257207623940825 -6.2534826782082025 -6.440691535014032 -inf -7.2638576874820036 -6.912454238866976
@highlight,-7.877095084903179
"Poor families allowed live ` swanky ' lifestyles postcodes beyond means , says campaigners",-7.285816445543877 -5.679156289440347 -6.651610102349727 -5.870126533953174 -inf -6.90609629828731 -inf -7.256998832241974 -7.283711927418142 -7.823059424130619 -7.861051612578738 -inf -6.9053994890997545 -7.2637162823596055
@highlight,-7.877095084903179
Calls Government 's # 400 per week cap properly enforced,-7.79931839244822 -6.894426796407224 -inf -inf -6.6352120879457965 -6.634115171848047 -6.245445123484486 -6.645037763641099 -7.871415356752879 -7.2709123043930575
@highlight,-7.877095084903179
Housing benefit costs taxpayers # 22bn year,-5.864684696723488 -5.762613683027634 -7.275929436342025 -6.65369896942406 -inf -7.848544799361014 -5.666895353014516
"Manchester United 's Spaniards may struggled gel pitch , building close relationship .",-5.877841363231419 -5.115974279327778 -inf -6.507068770618018 -7.078031454334114 -7.117029766763334 -7.063441454057333 -7.102135562365695 -inf -7.0763976278928835 -6.516002343671983 -7.117775672853707 -inf
"Juan Mata , Ander Herrera David de Gea become good friends enjoyed lunch together Hale Village , Cheshire Tuesday afternoon .",-6.148574700614811 -5.66863115828128 -inf -6.516907611890162 -5.6920137862303735 -6.489726458270824 -5.898579410480878 -5.891103835439522 -7.08714695274571 -7.075536422288831 -7.063743491600253 -6.49517847010722 -6.526024581402525 -6.150592847854378 -6.156622934284617 -6.518855584631495 -inf -7.097182357494019 -6.511465275900096 -6.15859676778993 -inf
"The Spanish trio named Louis van Gaal 's starting line-up opening day fixture Swansea , although unable prevent disappointing 2-1 defeat bySwansea .",-6.096494569034449 -6.146689369254439 -6.516783575286153 -7.081273555575104 -6.5003059123610845 -6.166782828456562 -5.879080185522321 -inf -7.063690357335596 -6.408611735375702 -6.538940015915066 -6.484182025471427 -6.524156638503032 -6.492609358869379 -inf -7.134269526456326 -7.077821647619272 -7.072376796842662 -7.103220620941855 -inf -6.521155086119145 -7.1091675358588615 -inf
VIDEO Scroll watch Mata challenge compatriot De Gea Corner Kick Challenge,-7.060453583566946 -7.090903224708188 -7.0998484430060245 -5.66863115828128 -7.0904601862555 -7.074803720168289 -5.898579410480878 -5.891103835439522 -7.122459215962102 -7.1018690725849645 -7.0904601862555
Meet greet : Juan Mata -LRB- left -RRB- helping fellow Spaniard Ander Herrera -LRB- right -RRB- settle,-8.536153313796248 -7.098491696885416 -inf -6.148574700614811 -5.66863115828128 -6.138076711226883 -6.492685876353712 -6.147585316798544 -7.057224249670182 -7.096732790417178 -7.110920574192936 -6.516907611890162 -5.6920137862303735 -6.138076711226883 -7.100187787360789 -6.147585316798544 -8.555426027007455
Join club : Manchester United keeper David de Gea Herrera pictured together Tuesday,-8.465824417140972 -6.1311437190587545 -inf -5.877841363231419 -5.115974279327778 -7.110038908171435 -6.489726458270824 -5.898579410480878 -5.891103835439522 -5.6920137862303735 -6.49173042402805 -6.150592847854378 -6.511465275900096
Three Amigos : The Spaniards stroll high street enjoy afternoon Hale Village,-6.980753039631355 -7.104440129198647 -inf -6.096494569034449 -6.507068770618018 -7.102726648335327 -7.09791747315256 -7.087793602324475 -7.101134748340402 -6.15859676778993 -6.156622934284617 -6.518855584631495
"Van Gaal brought another Spanish speaker Old Trafford , Argentina defender Marcos Rojo describing ` dream ' play Old Trafford club .",-6.166782828456562 -5.879080185522321 -7.098815591526905 -7.063153776379001 -6.146689369254439 -7.108439802366903 -6.150512863342182 -6.512468832358602 -inf -7.115309793281577 -6.518618018440822 -6.507494155326489 -5.884017379497106 -7.109706979956856 -inf -6.533435213635283 -inf -6.525900174431785 -6.150512863342182 -6.512468832358602 -6.1311437190587545 -inf
The Sporting Lisbon player emerged key summer target Van Gaal United paid # 16million defender sent Portuguese winger Nani back former club one-year loan deal .,-6.096494569034449 -6.523934503811622 -6.519167180151656 -7.049124359171634 -7.094526800982189 -7.112963424760994 -7.065472928259535 -7.058603310609246 -6.166782828456562 -5.879080185522321 -5.115974279327778 -7.083598153101602 -inf -7.1060198549944396 -6.518618018440822 -7.083125611406078 -7.124457360579108 -7.100285231961519 -7.089607741927369 -7.040142914759862 -7.076672369526972 -6.1311437190587545 -6.32870176878845 -7.091002655984115 -6.520851247174275 -inf
"In interview radio station Continental , quoted several national newspapers , Rojo said : ` It 's dream play Manchester United I proud chance working -LSB- Louis -RSB- van Gaal .",-6.995449560940655 -7.022822538836404 -7.105574059690392 -7.064698771612909 -7.120503200262032 -inf -7.101094318922056 -7.047740704835231 -7.072633872210461 -7.0961651118996025 -inf -5.884017379497106 -6.916028575588038 -inf -inf -7.004416524892559 -inf -6.533435213635283 -6.525900174431785 -5.877841363231419 -5.115974279327778 -inf -7.115359173423066 -7.06495676821421 -7.115054936448077 -7.066027378543602 -6.5003059123610845 -7.1037468294851625 -6.166782828456562 -5.879080185522321 -inf
"' I spoke Juan Sebastian Veron Manchester United Estudiantes . I always liked English football , I adapt new playing style easily . '",-inf -inf -7.060124394320217 -6.148574700614811 -7.045179470782283 -7.098345754062303 -5.877841363231419 -5.115974279327778 -7.094149233095234 -inf -inf -7.094511108503637 -7.099596456495877 -7.0987853161922665 -7.012214222867288 -inf -inf -7.110042152787822 -7.095689437922805 -7.059454627062178 -7.108471606356431 -7.098279040569719 -inf -inf
Double act : Mata Herrera hoping form close-knit midfield partnership Old Trafford,-7.093217596122088 -7.0983863012308825 -inf -5.66863115828128 -5.6920137862303735 -6.509784837331389 -7.079238751086495 -6.077839224165605 -7.1103151680680075 -7.08087921636972 -6.150512863342182 -6.512468832358602
Slow start : Mata United team-mates hoping improved performances defeat Swansea,-inf -7.10252824977413 -inf -5.66863115828128 -5.115974279327778 -6.4065404313866745 -6.509784837331389 -7.062181595237449 -7.101565962352207 -6.521155086119145 -6.492609358869379
Dream move : Marcos Rojo -LRB- left -RRB- signed United Sporting Lisbon # 16m,-6.533435213635283 -7.081507260583547 -inf -6.507494155326489 -5.884017379497106 -6.138076711226883 -6.492685876353712 -6.147585316798544 -7.095041429410617 -5.115974279327778 -6.523934503811622 -6.519167180151656 -inf -inf
VIDEO United reach deal Rojo,-7.060453583566946 -5.115974279327778 -7.094482772178851 -6.520851247174275 -5.884017379497106
@highlight,-7.877095084903179
Manchester United 's Spanish trio enjoyed lunch Hale Village,-5.877841363231419 -5.115974279327778 -inf -6.146689369254439 -6.516783575286153 -6.49517847010722 -6.526024581402525 -6.156622934284617 -6.518855584631495
@highlight,-7.877095084903179
"Mata , Herrera De Gea pictured together Tuesday afternoon",-5.66863115828128 -inf -5.6920137862303735 -5.898579410480878 -5.891103835439522 -6.49173042402805 -6.150592847854378 -6.511465275900096 -6.15859676778993
@highlight,-7.877095084903179
All three players started opening day fixture Swansea,-8.646584034498613 -6.980753039631355 -6.975147005699241 -7.107520938585281 -6.538940015915066 -6.484182025471427 -6.524156638503032 -6.492609358869379
By,-inf
Beth Stebner Tara Brady,-inf -7.889853767978037 -7.87670708748054 -inf
PUBLISHED :,-7.674717086138909 -inf
"13:57 EST , 21 January 2013",-6.855835213593149 -7.318164825797797 -inf -7.8764205672674885 -6.947086921948474 -7.913370062802791
|,-inf
UPDATED :,-7.447970574815543 -inf
"10:39 EST , 22 January 2013",-7.1665621134110244 -7.318164825797797 -inf -7.855482139404116 -6.947086921948474 -7.913370062802791
As one secretive nations North Korea remains something enigma outside world .,-9.427447664866763 -5.79826758268422 -6.690168030955366 -7.303376677917035 -5.418931710226959 -5.9212227105932 -7.870475537508348 -6.681862049329038 -7.864784798055223 -7.315856754375894 -6.667342507748004 -inf
"But one teenage girl , happens daughter Google chief executive Eric Schmidt , able capture rare glimpse life like communist state posted revealing account along pictures blog .",-6.284699987951634 -5.79826758268422 -7.902735497625479 -7.848749406471757 -inf -7.907352599763674 -6.69627109015488 -6.484182093159034 -7.324267937337353 -6.68523323153474 -6.476401164255246 -5.295183255471009 -inf -7.853605348101741 -7.888407039775357 -7.935250291888943 -7.892922510522508 -6.953772989170173 -6.47381688448423 -7.846232090079402 -6.005102714174507 -7.304927049297229 -7.8670925089037835 -7.845355682945548 -7.895923810894969 -7.860026542749217 -6.490723555939028 -inf
"Sophie Schmidt , 19 , allowed visit country earlier month father promote use internet .",-6.688053571187477 -5.295183255471009 -inf -7.8962006500397335 -inf -6.946146027900928 -6.689695171363702 -6.477843322793437 -6.692080949259014 -6.490932166111858 -6.682611325338568 -7.875805009093891 -7.3070483254202045 -6.15240476834025 -inf
Scroll video,-7.090903224708188 -7.060453583566946
"Strange travels : Sophie Schmidt , daughter Google chief executive Eric Schmidt travelled father North Korea earlier month recently wrote lengthy blog post observations , including photos secretive country",-6.9724744331524375 -7.864611790810685 -inf -6.688053571187477 -5.295183255471009 -inf -6.69627109015488 -6.484182093159034 -7.324267937337353 -6.68523323153474 -6.476401164255246 -5.295183255471009 -7.895167377770923 -6.682611325338568 -5.418931710226959 -5.9212227105932 -6.692080949259014 -6.490932166111858 -7.8767740937602415 -6.962557649056592 -7.869558786090069 -6.490723555939028 -7.902723168632559 -7.906552622834974 -inf -6.919109188822377 -7.31154214670452 -6.690168030955366 -6.477843322793437
"Real make-believe ? While university students also carefully-monitored Internet access strict instructions access educational materials , North Koreans never surfed web",-7.908493949958068 -6.597960296930567 -inf -7.304825189754699 -6.946171964217684 -6.966264897732256 -6.149087334024617 -6.618445783068276 -6.15240476834025 -6.942465290465068 -7.8660294253840926 -7.310684455047131 -6.942465290465068 -7.283444976961467 -7.322262578772388 -inf -5.418931710226959 -6.309278125933281 -6.479232521018211 -7.305393383696523 -7.895060317352245
Despite dad remaining tight-lipped,-7.320183600632298 -7.865180998074373 -7.89256132315905 -7.895238438024415
"exact reasons , daughter 's musings",-inf -7.880815826266008 -inf -6.69627109015488 -inf -inf
become something internet hit people living,-7.878642918953617 -6.681862049329038 -6.15240476834025 -7.862723665522418 -6.479941670999277 -7.894691820294029
outside world clicking onto blog .,-7.315856754375894 -6.667342507748004 -7.8764021677804035 -7.887645494649495 -6.490723555939028 -inf
"She describes group nine ,",-6.307032116241112 -7.860532072476727 -7.9111179028447935 -7.321000467079484 -inf
"led former New Mexico governor Bill Richardson , told leave phones",-7.9034510371232995 -6.155940657180181 -6.472405892767329 -6.96628089296881 -6.94737864746237 -6.950543670349295 -6.964613942251438 -inf -6.955388241610609 -7.304429068221431 -7.870884310905848
laptops behind China warned would,-7.911951414227875 -6.935971633552525 -6.302797944508563 -7.328812194647377 -6.951609600056551
confiscated arrived North Korea .,-inf -6.941432873220078 -5.418931710226959 -5.9212227105932 -inf
She added : ` It 's impossible know much extrapolate saw Pyongyang DPRK really like .,-6.307032116241112 -7.287485478486624 -inf -inf -5.7099136171550855 -inf -7.849474983454461 -6.466717764315078 -6.301444748532229 -7.888596713511624 -6.943421619026865 -6.695559433919438 -7.889575695343448 -5.716183083279593 -6.47381688448423 -inf
"` Our trip mixture highly staged encounters , tightly-orchestrated viewings seemed like genuine human moments . '",-inf -7.877483114498845 -6.961276663234428 -7.845681858123477 -7.3033531005160865 -6.948893687604745 -7.334852608465474 -inf -7.195608429147786 -7.900976367388843 -7.8942488115769205 -6.47381688448423 -7.875306988991361 -7.90791826865512 -7.317515073810615 -inf -inf
"Cold : She described trip strange cold ; , frozen capital Pyongyang",-7.322955623166983 -inf -6.307032116241112 -7.300586531941266 -6.961276663234428 -6.9724744331524375 -7.322955623166983 -inf -inf -7.89646677736448 -6.955773706964318 -6.695559433919438
"Warm reception : Despite secretive nature culture pre-arranged photo-ops , Ms Schmidt observed delegates felt welcomed",-inf -7.875709395710354 -inf -7.320183600632298 -6.690168030955366 -7.903737580268397 -7.878625416612784 -7.198939599905156 -6.426131272211009 -inf -6.160961370416698 -5.295183255471009 -7.8800278837834785 -7.321374130269609 -7.866607363916332 -9.230112763690094
Government state : They entered country left laptops cell phones China warned North Korean government would confiscate,-7.927804158682878 -6.005102714174507 -inf -5.635217244370419 -7.907176437404432 -6.477843322793437 -6.0162498190234315 -7.911951414227875 -7.907689809581099 -7.870884310905848 -6.302797944508563 -7.328812194647377 -5.418931710226959 -6.942690684939062 -7.927804158682878 -6.951609600056551 -inf
"Learning experience : Ms Schmidt said ordinary North Koreans live near-total information bubble , without true frame reference ; likened ` The Truman Show , ' national scale",-inf -6.695680776946297 -inf -6.160961370416698 -5.295183255471009 -5.171681268845311 -6.942390208802291 -5.418931710226959 -6.309278125933281 -7.300087388192174 -6.415861130826061 -7.309287274629637 -7.307621873436013 -inf -6.707179089363637 -7.311356728928191 -7.335677906801705 -7.324830150176921 -inf -7.8858374264339055 -inf -5.699416274745877 -7.300830166429178 -7.286765311497363 -inf -inf -7.894758173143002 -inf
The blog seems suggest,-5.699416274745877 -6.490723555939028 -7.89563826113246 -inf
"number events attended staged , likening country",-7.896991873345721 -7.8687247040284625 -7.898469898707532 -6.948893687604745 -inf -7.905824261579581 -6.477843322793437
"The Truman Show , film starring Jim Carrey .",-5.699416274745877 -7.300830166429178 -7.286765311497363 -inf -7.898219594383726 -7.882882078530823 -7.878601892234438 -7.896953744129691 -inf
"She said : ` Ordinary North Koreans live near-total information bubble , without true frame reference .",-6.307032116241112 -5.171681268845311 -inf -inf -6.942390208802291 -5.418931710226959 -6.309278125933281 -7.300087388192174 -6.415861130826061 -7.309287274629637 -7.307621873436013 -inf -6.707179089363637 -7.311356728928191 -7.335677906801705 -7.324830150176921 -inf
' I ca n't think reaction except absolute sympathy .,-inf -inf -7.324505731824458 -inf -6.965214949387228 -7.3240689250387785 -7.896513362462596 -7.876989990002562 -7.892095984066838 -inf
` My understanding North,-inf -7.887943150770132 -7.897848057042186 -5.418931710226959
"Koreans taught believe lucky North Korea ,",-6.309278125933281 -7.28598587322192 -6.949129557124428 -7.298041731469927 -5.418931710226959 -5.9212227105932 -inf
would ever want leave ?,-6.951609600056551 -7.315259424846411 -7.281085764939218 -7.304429068221431 -inf
` They 're hostages,-inf -5.635217244370419 -7.303644425528242 -7.839539965307019
"country , without real consciousness . '",-6.477843322793437 -inf -6.707179089363637 -7.908493949958068 -7.858814971610857 -inf -inf
According Ms Schmidt party,-6.266253095897362 -5.441233008173473 -9.466239616490798 -6.896848904178256
"told assume everything bugged , however",-6.955388241610609 -7.894759341536274 -7.911055300300519 -7.89975023242331 -inf -6.955114615731223
` treated well ' ` even though official relations US,-inf -7.838318181134897 -6.30612812411839 -inf -inf -5.72450555877229 -6.690518131042491 -7.302035171573212 -7.854901760769294 -6.929909217478883
DPRK tense . ',-7.889575695343448 -7.922622721550417 -inf -inf
"Dear leader : Ms Schmidt said experience Kim Il-Sung Library one unsettling , stating blog n't know whether people actual students",-7.861936548266479 -6.701678997815974 -inf -6.160961370416698 -5.295183255471009 -5.171681268845311 -6.695680776946297 -6.309899795699259 -6.424692202672748 -7.31674885491149 -5.79826758268422 -7.902516776591846 -inf -7.8907372324315315 -6.490723555939028 -inf -6.466717764315078 -7.310438251080587 -6.479941670999277 -7.89341430513983 -6.966264897732256
